order_date,actual_revenue,predicted_revenue,pred_lower_95,pred_upper_95,residual,abs_error,pct_error,month_period
2018-08-20,39851.87,38725.87801640994,23807.639521499827,53644.11651132005,1125.9919835900655,1125.9919835900655,2.825443281808521,2018-08
2018-08-21,30830.69,36234.89899844791,21316.6605035378,51153.13749335802,-5404.2089984479135,5404.2089984479135,17.52866704717901,2018-08
2018-08-22,24262.61,35737.39400753689,20819.155512626778,50655.632502447,-11474.784007536888,11474.784007536888,47.29410400421425,2018-08
2018-08-23,19540.56,32541.230407931573,17622.991913021462,47459.46890284168,-13000.670407931571,13000.670407931571,66.53171868120243,2018-08
2018-08-24,11313.39,25308.22975237214,10389.991257462027,40226.46824728225,-13994.83975237214,13994.83975237214,123.70155852818776,2018-08
2018-08-25,11737.76,20157.359081516726,5239.120586606614,35075.59757642684,-8419.599081516726,8419.599081516726,71.73088461100522,2018-08
2018-08-26,9333.16,19189.08144065921,4270.842945749098,34107.31993556932,-9855.921440659211,9855.921440659211,105.60111945642431,2018-08
2018-08-27,6111.61,18307.710366426945,3389.471871516833,33225.948861337056,-12196.100366426945,12196.100366426945,199.55626040318256,2018-08
2018-08-28,4121.22,15713.902566301349,795.6640713912366,30632.141061211463,-11592.682566301348,11592.682566301348,281.2924950937185,2018-08
2018-08-29,1762.7,13372.238108448619,0.0,28290.47660335873,-11609.538108448618,11609.538108448618,658.6224603420104,2018-08
2018-08-30,0.0,11602.436203293773,0.0,26520.674698203886,-11602.436203293773,11602.436203293773,1160243.6203293772,2018-08
2018-08-31,0.0,4524.055016662814,0.0,19442.293511572927,-4524.055016662814,4524.055016662814,452405.5016662814,2018-08
2018-09-01,0.0,2417.9985348979358,0.0,17336.23702980805,-2417.9985348979358,2417.9985348979358,241799.85348979358,2018-09
2018-09-02,0.0,2450.1812987387516,0.0,17368.419793648864,-2450.1812987387516,2450.1812987387516,245018.12987387515,2018-09
2018-09-03,166.46,1663.9500047950023,0.0,16582.188499705117,-1497.4900047950023,1497.4900047950023,899.6095186801647,2018-09
